name,val_loss,val_accuracy,loss,accuracy,runtime,build_fn_params.hidden_activation,build_fn_params.loss,build_fn_params.optimizer,build_fn_params.output_activation,dataset_params.batch_size,dataset_params.color_mode,dataset_params.crop_to_aspect_ratio,dataset_params.image_size.0,dataset_params.image_size.1,dataset_params.interpolation,dataset_params.label_mode,early_stopping_params.patience,fit_params.epochs,lr
fragility_aching,0.30239030718803406,0.8816964030265808,0.24147257208824158,0.9015659689903259,2023-10-29 01:07:42,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,32,32,bilinear,binary,50,10000000000,0.001
confiding_dingbat,0.30248522758483887,0.875,0.22120919823646545,0.9127516746520996,2023-10-30 13:04:43,selu,binary_crossentropy,adam,sigmoid,128,rgb,False,64,64,bilinear,binary,50,10000000000,
dime_depth,0.3033333122730255,0.8727678656578064,0.1878291219472885,0.926174521446228,2023-10-29 07:33:07,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,32,32,bilinear,binary,50,10000000000,0.001
domelike_condense,0.30466780066490173,0.8928571343421936,0.26189014315605164,0.8909395933151245,2023-10-29 10:42:52,relu,binary_crossentropy,adam,sigmoid,128,grayscale,False,32,32,bilinear,binary,50,10000000000,0.001
legislate_unable,0.30901914834976196,0.8683035969734192,0.24904471635818481,0.9043624401092529,2023-10-30 09:17:51,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,32,32,bilinear,binary,50,10000000000,
padded_thirsting,0.3090682625770569,0.8772321343421936,0.1652945727109909,0.9368008971214294,2023-10-30 12:41:51,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,32,32,bilinear,binary,50,10000000000,
grime_itunes,0.30938461422920227,0.8772321343421936,0.24545519053936005,0.9099552631378174,2023-10-28 01:44:22,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
oven_flanked,0.31175532937049866,0.8616071343421936,0.1736903339624405,0.9429529905319214,2023-10-27 22:55:46,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
unclothed_stainless,0.3120846450328827,0.8683035969734192,0.13959750533103943,0.9563758373260498,2023-10-29 08:19:40,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
strum_goon,0.31291720271110535,0.8727678656578064,0.24750371277332306,0.9021252989768982,2023-10-29 22:48:33,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,32,32,bilinear,binary,50,10000000000,
chitchat_snowdrift,0.3136132061481476,0.8772321343421936,0.217666894197464,0.9244966506958008,2023-10-28 00:49:51,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,64,64,bilinear,binary,50,10000000000,0.001
riddance_trend,0.3141822814941406,0.8816964030265808,0.2758347988128662,0.886465311050415,2023-10-27 15:26:26,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000,0.001
conform_shortness,0.31440505385398865,0.8861607313156128,0.13335168361663818,0.9636465311050415,2023-10-29 23:43:28,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000,
acrobat_graceful,0.3151482045650482,0.8683035969734192,0.28229060769081116,0.8942952752113342,2023-10-30 09:36:50,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000,
clunky_slicer,0.3163759112358093,0.8683035969734192,0.23006542026996613,0.9038031101226807,2023-10-29 07:38:25,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,32,32,bilinear,binary,50,10000000000,0.001
chef_silliness,0.3181411325931549,0.8928571343421936,0.11286897212266922,0.9602908492088318,2023-10-30 06:48:57,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000,
hassle_amount,0.3194791376590729,0.8772321343421936,0.18236811459064484,0.9401565790176392,2023-10-27 17:51:35,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,32,32,bilinear,binary,50,10000000000,0.001
maternal_animal,0.32109779119491577,0.8683035969734192,0.20867252349853516,0.9149888157844543,2023-10-27 21:22:29,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,64,64,bilinear,binary,50,10000000000,0.001
